,Name,Female?,Party,District
179,Skånberg Tuve,0,6,14
180,Wester Ulla,1,3,14
181,Sjöstrand Sven-Erik,0,4,14
182,Bengtsson Anders,0,3,14
183,Nylander Christer,0,2,14
184,Engle Kerstin,1,3,14
185,Ericson Lars-Ivar,0,7,14
186,Pålsson Margareta,1,1,14
187,Persson i Simrishamn Göran,0,3,14
188,Adelsbo Christer,0,3,14
189,Eriksson Alf,0,3,15
190,Westerlund Panke Majléne,1,3,15
191,Sahlberg Pär Axel,0,3,15
192,Hoff Hans,0,3,15
193,Kollmats Lennart,0,2,15
194,Karlsson Kjell-Erik,0,4,15
195,Gustafsson Lars,0,6,15
196,Ertsborn Jan,0,2,15
197,Brodén Anne Marie,1,1,15
198,Andersson Jan,0,7,15
199,von Sydow Henrik,0,1,15
200,Carlström Marianne,1,3,16
201,Bager Erling,0,2,16
202,Olsson Rolf,0,4,16
203,Brandin Claes-Göran,0,3,16
204,Flyborg Eva,1,2,16
205,Wittgren-Ahl Siw,1,3,16
206,Lindblad Göran,0,1,16
207,Sidén Anita,1,1,16
208,Jóhannesson Berit,1,4,16
209,Landgren Per,0,6,16
210,Magnusson Cecilia,1,1,16
211,Roxbergh Claes,0,5,16
212,Enochson Annelie,1,6,16
213,Lindén Rolf,0,3,16
214,Johansson Lars,0,3,16
215,Carlsson i Hisings Backa Gunilla,1,3,16
216,Wigström Cecilia,1,2,16
217,Darvik Axel,0,2,16
218,Nilsson Lennart,0,3,17
219,Bäckström Lars,0,4,17
220,René Inger,1,1,17
221,Olsson Kent,0,1,17
222,Berglund Nilsson Mona,1,3,17
223,Runegrund Rosita,1,6,17
224,Torstensson Åsa,1,7,17
225,Larsson Jan-Olof,0,3,17
226,Aronson Marita,1,2,17
227,Jönsson Mona,1,5,17
228,Tysklind Lars,0,2,17
229,Bråkenhielm Catharina,1,3,17
230,Forslund Kenneth G,0,3,17
231,Bohlin Olsson Britt,1,3,18
232,Feltzing Barbro,1,5,18
233,Söderqvist Nils-Erik,0,3,18
234,Nyström Elizabeth,1,1,18
235,Vänerlöv Ingemar,0,6,18
236,Nenes Christina,1,3,18
237,Dinamarca Rossana,1,4,18
238,Brodén Anita,1,2,18
239,Jonsson Peter,0,3,18
240,Qarlsson Annika,1,7,18
241,Kjörnsberg Arne,0,3,19
242,Ekholm Berndt,0,3,19
243,Fransson Sonja,1,3,19
244,Ekström Anne-Marie,1,2,19
245,Lindgren Else-Marie,1,6,19
246,Sjösten Ulf,0,1,19
247,Västerteg Claes,0,7,19
248,Nordström Kjell,0,3,20
249,Carlsson Birgitta,1,7,20
250,Gustafsson Holger,0,6,20
251,Rosengren Per,0,4,20
252,Green Monica,1,3,20
253,Ahlin Urban,0,3,20
254,Ohlsson Carina,1,3,20
255,Winbäck Christer,0,2,20
256,Widegren Cecilia,1,1,20
257,Lander Jarl,0,3,21
258,Johansson Ann-Kristine,1,3,21
259,Engström Marie,1,4,21
260,Pettersson Marina,1,3,21
